Day,Track,Time,Duration,Title,Speaker,Affiliation,Highlight,Url
Tue,RPHS-MApp,16:20,0:20,Toward in vivo dosimetry with plastic scintillation detectors,Louis Archambault,University Laval,,/2026/abstracts/presentations/abstract-archambault.pdf
Tue,RPHS-MApp,16:40,0:20,Using TLDs for In-vivo radiotherapy dose verification,Cliff Hammer,University of Wisconsin – Madison,,/2026/abstracts/presentations/abstract-hammer.pdf
Tue,RPME,15:30,0:10,Session 3: Radiation Modality Comparisons (Room 3032 on 3rd floor),Spencer Mickum,,,
Tue,RPME,15:40,0:20,"Latest efforts of an international collaborative team studying differences in effects for gamma, e-beam and x-ray irradiation applications",Leo Fifield,PNNL,,/2026/abstracts/presentations/abstract-fifield.pdf
Tue,RPME,16:00,0:20,Performance of X-ray vs. gamma irradiators,Joshua Nuzzi,IBA Industrial,,/2026/abstracts/presentations/abstract-nuzzi.pdf
Tue,RPME,16:20,0:20,Investigating the use of alanine-based chip cards for emergency personal dosimetry following ionizing radiation exposures,Joel Beazley,University of Oxford,,/2026/abstracts/presentations/abstract-beazley.pdf
Tue,RPME,16:40,0:20,Perspective on Cesium-137 Supply,Zach Hope,Hopewell Designs,,
Tue,Plen,17:00,1:00,CIRMS reception,,,yes,
Tue,Break,18:00,,Adjourn,,,,
Tue,Plen,18:30,,No-host dinner: Yard House and Uncle Julio's,,,,
Wed,Break,8:00,1:00,Breakfast,,,,
Wed,Plen,9:00,0:15,President's Welcome,Cody Wilson,IBA Industrial,,
Wed,Plen,9:15,0:30,Randall S. Caswell Award,Nolan Hertel,Georgia Institute of Technology,yes,
Wed,Plen,9:45,0:30,Group Photo,,,yes,
Wed,Break,10:15,0:15,Health break,,,,
Wed,Plen,10:30,0:15,Plenary 5: From hydroxyl radicals to clustered DNA lesions: Integrating track-structure physics with quantitative radiation damage measurements,Amitava Adhikary,University of Iowa,,/2026/abstracts/presentations/abstract-adhikary.pdf
Wed,Plen,10:45,0:25,Plenary 6:  Impact of the pioneering work of Miral Dizdaroglu in identifying and quantifying DNA base damage on the advancements in understanding the radiation chemistry of DNA,Steven Swarts,University of Florida,,/2026/abstracts/presentations/abstract-swarts.pdf
Wed,Plen,11:10,0:25,Plenary 7: Biodosimetry at NIST: A tribute to Miral Dizdaroglu,Joey Robertson,NIST,,/2026/abstracts/presentations/abstract-robertson.pdf
Wed,Plen,11:35,0:15,Plenary 8: Development of METREPOL-based triage algorithms for estimating H-ARS severity and radiation dose in a baboon mixed-field radiation model,David L. Bolduc,AFRRI,,/2026/abstracts/presentations/abstract-bolduc.pdf
Wed,Plen,11:50,0:30,What's a CIRMS for?,Malcolm McEwen,National Research Council Canada,yes,
Wed,Plen,12:20,0:15,Needs Report,Shaheen Dewji,Georgia Institute of Technology,,
Wed,Plen,12:35,0:10,President's closing remarks and farewell,Cody Wilson,IBA Industrial,,
Wed,Break,12:45,,Adjourn,,,,
